Pistachio_Index,tip_Closest_50_1,tip_Closest_50_2,tip_Closest_50_3,tip_Closest_50_4,tip_Closest_50_5,tip_Closest_50_6,tip_Closest_50_7,tip_Closest_50_8,Status,Status Color,full_1,full_2,full_3,full_4,full_5,full_6,full_7,full_8,tip_Farthest_50_1,tip_Farthest_50_2,tip_Farthest_50_3,tip_Farthest_50_4,tip_Farthest_50_5,tip_Farthest_50_6,tip_Farthest_50_7,tip_Farthest_50_8,tip_Closest_30_1,tip_Closest_30_2,tip_Closest_30_3,tip_Closest_30_4,tip_Closest_30_5,tip_Closest_30_6,tip_Closest_30_7,tip_Closest_30_8,tip_Farthest_30_1,tip_Farthest_30_2,tip_Farthest_30_3,tip_Farthest_30_4,tip_Farthest_30_5,tip_Farthest_30_6,tip_Farthest_30_7,tip_Farthest_30_8,tip_Farthest_70_1,tip_Farthest_70_2,tip_Farthest_70_3,tip_Farthest_70_4,tip_Farthest_70_5,tip_Farthest_70_6,tip_Farthest_70_7,tip_Farthest_70_8,tip_Closest_70_1,tip_Closest_70_2,tip_Closest_70_3,tip_Closest_70_4,tip_Closest_70_5,tip_Closest_70_6,tip_Closest_70_7,tip_Closest_70_8
CT3-A13-full_3,0.46,0.0,0.0,0.0,0.271,0.004,0.001,0.263,Filled,#5dde6a,0.499,0.0,0.0,0.0,0.263,0.007,0.002,0.23,0.542,0.0,0.0,0.0,0.253,0.009,0.002,0.193,0.432,0.0,0.0,0.0,0.27,0.005,0.001,0.292,0.507,0.0,0.0,0.0,0.315,0.007,0.004,0.167,0.53,0.0,0.0,0.0,0.26,0.007,0.002,0.201,0.496,0.0,0.0,0.0,0.245,0.007,0.001,0.252
CT3-A13-full_4,0.285,0.0,0.0,0.0,0.608,0.0,0.0,0.107,Filled,#5dde6a,0.421,0.0,0.0,0.0,0.468,0.001,0.0,0.11,0.536,0.0,0.0,0.0,0.349,0.001,0.0,0.114,0.234,0.0,0.0,0.0,0.628,0.0,0.0,0.137,0.569,0.0,0.0,0.0,0.329,0.002,0.0,0.1,0.488,0.0,0.0,0.0,0.41,0.001,0.0,0.101,0.349,0.0,0.0,0.0,0.535,0.0,0.0,0.116
CT3-A13-full_5,0.432,0.0,0.0,0.0,0.297,0.0,0.0,0.272,Filled,#5dde6a,0.485,0.0,0.0,0.0,0.194,0.001,0.0,0.32,0.536,0.0,0.0,0.0,0.095,0.003,0.001,0.366,0.418,0.0,0.0,0.0,0.359,0.0,0.0,0.222,0.726,0.0,0.0,0.0,0.085,0.0,0.0,0.189,0.513,0.0,0.0,0.0,0.125,0.002,0.0,0.36,0.378,0.0,0.0,0.0,0.242,0.002,0.0,0.378
CT3-A13-full_6,0.239,0.0,0.0,0.0,0.325,0.002,0.0,0.433,Filled,#5dde6a,0.244,0.0,0.0,0.0,0.317,0.002,0.0,0.436,0.25,0.0,0.0,0.0,0.308,0.003,0.0,0.439,0.303,0.0,0.0,0.0,0.346,0.002,0.001,0.348,0.316,0.0,0.0,0.0,0.275,0.005,0.0,0.403,0.217,0.0,0.0,0.0,0.303,0.003,0.0,0.478,0.214,0.0,0.0,0.0,0.335,0.001,0.0,0.45
CT3-A13-full_7,0.244,0.0,0.0,0.0,0.382,0.005,0.0,0.369,Filled,#5dde6a,0.384,0.0,0.0,0.0,0.328,0.007,0.0,0.281,0.519,0.0,0.0,0.0,0.276,0.009,0.0,0.196,0.156,0.0,0.0,0.0,0.378,0.007,0.0,0.458,0.557,0.0,0.0,0.0,0.223,0.013,0.0,0.207,0.483,0.0,0.0,0.0,0.306,0.007,0.0,0.204,0.3,0.0,0.0,0.0,0.379,0.004,0.0,0.317
CT3-A13-full_8,0.372,0.0,0.0,0.0,0.582,0.002,0.0,0.044,Filled,#5dde6a,0.597,0.0,0.0,0.0,0.365,0.002,0.0,0.036,0.781,0.0,0.0,0.0,0.187,0.002,0.0,0.031,0.145,0.0,0.0,0.0,0.828,0.0,0.0,0.027,0.8,0.0,0.0,0.0,0.179,0.0,0.0,0.021,0.737,0.0,0.0,0.0,0.221,0.003,0.0,0.039,0.496,0.0,0.0,0.0,0.457,0.003,0.0,0.044
CT3-A13-full_9,0.472,0.0,0.0,0.0,0.419,0.049,0.013,0.047,Filled,#5dde6a,0.635,0.0,0.0,0.0,0.231,0.035,0.006,0.093,0.786,0.0,0.0,0.0,0.057,0.021,0.0,0.135,0.394,0.0,0.0,0.0,0.494,0.044,0.017,0.052,0.774,0.0,0.0,0.0,0.049,0.011,0.0,0.165,0.736,0.0,0.0,0.0,0.121,0.031,0.002,0.11,0.57,0.0,0.0,0.0,0.315,0.046,0.009,0.06
CT3-A13-full_10,0.248,0.0,0.0,0.0,0.184,0.002,0.001,0.565,Filled,#5dde6a,0.224,0.0,0.0,0.0,0.238,0.014,0.001,0.524,0.199,0.0,0.0,0.0,0.293,0.026,0.0,0.481,0.331,0.0,0.0,0.0,0.103,0.003,0.001,0.561,0.288,0.0,0.0,0.0,0.323,0.022,0.0,0.366,0.178,0.0,0.0,0.0,0.296,0.018,0.0,0.507,0.198,0.0,0.0,0.0,0.203,0.01,0.001,0.587
CT3-A13-full_11,0.485,0.0,0.0,0.0,0.084,0.001,0.0,0.429,Filled,#5dde6a,0.424,0.0,0.0,0.0,0.085,0.003,0.0,0.489,0.361,0.0,0.0,0.0,0.086,0.004,0.0,0.548,0.54,0.0,0.0,0.0,0.092,0.002,0.0,0.365,0.455,0.0,0.0,0.0,0.096,0.007,0.0,0.441,0.374,0.0,0.0,0.0,0.082,0.003,0.0,0.541,0.41,0.0,0.0,0.0,0.081,0.001,0.0,0.508
CT3-A13-full_12,0.004,0.0,0.011,0.134,0.821,0.0,0.03,0.0,Filled,#5dde6a,0.065,0.0,0.004,0.047,0.87,0.0,0.013,0.001,0.097,0.0,0.0,0.001,0.897,0.0,0.003,0.002,0.009,0.0,0.019,0.213,0.699,0.0,0.06,0.0,0.116,0.0,0.0,0.0,0.881,0.0,0.0,0.002,0.076,0.0,0.001,0.016,0.903,0.0,0.004,0.002,0.003,0.0,0.008,0.104,0.857,0.0,0.028,0.0
